code,shortName,longName,mass,comment
08ME6,08ME6,Mediengestalterin/Mediengestalter Digital und Print Fachrichtung Konzeption und Visualisierung,215,"3j., 
auslaufend (ab 2023)"
08ME1,08ME1,Mediengestalterin/Mediengestalter Digital und Print Fachrichtung Designkonzeption,215,3j. 
08ME2,08ME2,Mediengestalterin/Mediengestalter Digital und Print Fachrichtung Digitalmedien,215,3j. 
08ME3,08ME3,Mediengestalterin/Mediengestalter Digital und Print Fachrichtung Printmedien,215,3j. 
08ME4,08ME4,Mediengestalterin/Mediengestalter Digital und Print Fachrichtung Projektmanagement,215,3j. 
08GIM,08GIM,Gestalterin/Gestalter für immersive Medien,215,3j.
08MT1,08MT1,Medientechnologin/Medientechnologe Druck,215,3j.
08MT2,08MT2,Medientechnologin/Medientechnologe Druckverarbeitung,215,3j.
08MT3,08MT3,Medientechnologin/Medientechnologe Siebdruck,215,3j.
09BOB,09BOB,Bauten- und Objektbeschichterin/Bauten- und Objektbeschichter,217,2j.
09FIA,09FIA,Fahrzeuginterieur-Mechanikerin/Fahrzeuginterieur-Mechaniker,217,3j.
09FZL,09FZL,Fahrzeuglackiererin/Fahrzeuglackierer,217,3j.
09GES,09GES,Gestalterin/Gestalter für visuelles Marketing,217,3j.
09MA1,09MA1,Malerin und Lackiererin/Maler und Lackierer Fachrichtung Bauten und Korrosionsschutz,217,3j.
09MA3,09MA3,Malerin und Lackiererin/Maler und Lackierer Fachrichtung Gestaltung und Instandhaltung,217,3j.
09MA4,09MA4,Malerin und Lackiererin/Maler und Lackierer Fachrichtung Ausbautechnik und Oberflächengestaltung,217,3j.
09MA5,09MA5,Malerin und Lackiererin/Maler und Lackierer Fachrichtung Energieeffizienz- und Gestaltungstechnik,217,3j.
09PDN,09PDN,Polster- und Dekorationsnäherin/Polster- und Dekorationsnäher,217,2j.
09POL,09POL,Polsterin/Polsterer,217,3j.
09RA1,09RA1,Raumausstatterin/Raumausstatter Schwerpunkt Boden,217,3j.
09RA2,09RA2,Raumausstatterin/Raumausstatter Schwerpunkt Polstern,217,3j.
09RA3,09RA3,"Raumausstatterin/Raumausstatter Schwerpunkt Raumdekoration sowie Licht-, Sicht- und Sonnenschutz",217,3j.
09RA4,09RA4,Raumausstatterin/Raumausstatter Schwerpunkt Wand- und Deckendekoration,217,3j.
09SLI,09SLI,Schilder- und Lichtreklameherstellerin/Schilder- und Lichtreklamehersteller,217,3j.
10AUG,10AUG,Augenoptikerin/Augenoptiker,219,3j.
